mechanism,method,parameter,bias,RMSE,SD,estimated_SE,coverage_valid,valid_CI,SD_valid,CI_failure_rate,covered_and_available,bias_MCSE,replications
MAR,selection_misspecified,M3_class2,0.021993629561150224,0.048524510126078564,0.04347190363626148,0.040823434959701595,0.875,96,0.043495524742139004,0.04,0.84,0.004347190363626148,100
MAR,selection_misspecified,P000,-0.04526306680015923,0.055361332193359335,0.03203741319946006,0.0298419412695501,0.65625,96,0.03076884987906178,0.04,0.63,0.003203741319946006,100
MAR,selection_misspecified,P001,0.0074125539560087024,0.020679828514198,0.019402940296443995,0.0192066874361695,0.9375,96,0.01954419706370413,0.04,0.9,0.0019402940296443995,100
MAR,selection_misspecified,P010,0.01546702159362091,0.02947456777187416,0.02521666493142791,0.023813303892854673,0.9583333333333334,96,0.0236350156275759,0.04,0.92,0.002521666493142791,100
MAR,selection_misspecified,P011,0.022603495485696602,0.028131566647251114,0.016831519069852634,0.016180463896699308,0.7604166666666666,96,0.01597224100544447,0.04,0.73,0.0016831519069852633,100
MAR,selection_misspecified,P100,-0.01738659662708431,0.020672463404855332,0.011239226084653837,0.011506350386464618,0.5833333333333334,96,0.011180517418094223,0.04,0.56,0.0011239226084653838,100
MAR,selection_misspecified,P101,-0.011464258810663519,0.018453753696607265,0.014533548629805432,0.015975881493896782,0.8645833333333334,96,0.014347745864383137,0.04,0.83,0.0014533548629805432,100
MAR,selection_misspecified,P110,-0.0021220764235387298,0.01299298614931843,0.012883098344677334,0.012239888750507777,0.8958333333333334,96,0.013019503151525313,0.04,0.86,0.0012883098344677335,100
MAR,selection_misspecified,P111,0.03075292762611951,0.0379109594818958,0.022281447898762175,0.023807526117422022,0.7395833333333334,96,0.022058478346173138,0.04,0.71,0.0022281447898762174,100
MAR,selection_misspecified,mean_Y1,-0.00022000423516708556,0.02404601090455505,0.024166138731087985,0.022185726500886602,0.8958333333333334,96,0.02445002865056619,0.04,0.86,0.0024166138731087985,100
MAR,selection_misspecified,mean_Y2,0.06670136828189827,0.08034552126534611,0.04501773227198229,0.04482781274099653,0.71875,96,0.04222766967725903,0.04,0.69,0.004501773227198229,100
MAR,selection_misspecified,mean_Y3,0.04930471825716122,0.06245687701149774,0.0385325029218913,0.037116409986974915,0.71875,96,0.03907829008992377,0.04,0.69,0.0038532502921891304,100
MAR,selection_misspecified,p_class2,0.01739188503861967,0.04966273422136431,0.04675218900665991,0.04551022474958242,0.9583333333333334,96,0.043796920135254394,0.04,0.92,0.004675218900665991,100
MCAR,MAR_ignorability,M1_class1,-0.004103426994946427,0.034350654083011634,0.03427649491804164,0.036495481767622615,0.9484536082474226,97,0.033537097508845135,0.03,0.92,0.003427649491804164,100
MCAR,MAR_ignorability,M1_class2,0.0023479153115496844,0.0451730706214221,0.04533927771920023,0.04675976497704207,0.9896907216494846,97,0.04148833218922574,0.03,0.96,0.004533927771920023,100
MCAR,MAR_ignorability,M2_class1,0.0015987691700875837,0.043302101015001704,0.043490575891425805,0.0411509689572114,0.9381443298969072,97,0.04337144710609931,0.03,0.91,0.00434905758914258,100
MCAR,MAR_ignorability,M2_class2,-0.00457061140841738,0.04455792678458605,0.044546177954991314,0.04624875159148587,0.9484536082474226,97,0.04309950455446871,0.03,0.92,0.004454617795499131,100
MCAR,MAR_ignorability,M3_class1,0.003940984803043956,0.03948995623890572,0.039490764583721784,0.04235586181002855,0.9587628865979382,97,0.039436152427829996,0.03,0.93,0.003949076458372178,100
MCAR,MAR_ignorability,M3_class2,-0.00538387927900292,0.0485980163164256,0.048542192766567085,0.04455579891240208,0.9381443298969072,97,0.04740128243247142,0.03,0.91,0.004854219276656709,100
MCAR,MAR_ignorability,P000,-0.002441408036276272,0.023641523218134987,0.023633590776774946,0.02237845373817817,0.9175257731958762,97,0.023935435373916156,0.03,0.89,0.0023633590776774944,100
MCAR,MAR_ignorability,P001,0.0017764292255359434,0.013392945853196543,0.01334148606178049,0.013837789707733956,0.9690721649484536,97,0.013486329674297654,0.03,0.94,0.001334148606178049,100
MCAR,MAR_ignorability,P010,0.0008329709381485905,0.0165636892514767,0.016626070590141505,0.015530586293311067,0.9278350515463918,97,0.016742112571175166,0.03,0.9,0.0016626070590141505,100
MCAR,MAR_ignorability,P011,5.200397673466431e-05,0.012216018920347495,0.01227744971744275,0.012252904527178083,0.9690721649484536,97,0.01174739658840432,0.03,0.94,0.0012277449717442751,100
MCAR,MAR_ignorability,P100,-0.000657654747654898,0.01008369390580297,0.01011291668399324,0.010739483846178212,0.9587628865979382,97,0.010155307309458267,0.03,0.93,0.001011291668399324,100
MCAR,MAR_ignorability,P101,0.0013218815142609515,0.013970581626849825,0.013977968966159505,0.014410183687896712,0.9381443298969072,97,0.013808218010231797,0.03,0.91,0.0013977968966159505,100
MCAR,MAR_ignorability,P110,0.001423937166091353,0.012430360937858344,0.01241074298366232,0.01109899007816711,0.9175257731958762,97,0.012405093868202103,0.03,0.89,0.001241074298366232,100
MCAR,MAR_ignorability,P111,-0.002308160036840389,0.018394333942682584,0.018340877743534812,0.020746009127812503,0.979381443298969,97,0.018060531209487,0.03,0.95,0.0018340877743534812,100
