mechanism,rep,method,parameter,truth,estimate,se,covered
MAR,57,MAR_ignorability,mean_Y3,0.49250000000000005,0.4520562235914789,0.02505499171248415,1.0
MAR,57,MAR_ignorability,P000,0.28387500000000004,0.3197281603756638,0.021478321317261406,1.0
MAR,57,MAR_ignorability,P001,0.08925,0.08284243611033834,0.0130690250707144,1.0
MAR,57,MAR_ignorability,P010,0.10362500000000001,0.10348259026276783,0.015052066303804047,1.0
MAR,57,MAR_ignorability,P011,0.08074999999999999,0.053946805707844395,0.009433318227475744,0.0
MAR,57,MAR_ignorability,P100,0.063,0.0627902733997226,0.010978094458323463,1.0
MAR,57,MAR_ignorability,P101,0.08887500000000001,0.08471577650870502,0.015764738853273796,1.0
MAR,57,MAR_ignorability,P110,0.057000000000000016,0.061942752370366956,0.011761899984179165,1.0
MAR,57,MAR_ignorability,P111,0.233625,0.2305512052645911,0.0207811189267182,1.0
MAR,57,selection_misspecified,M1_class1,0.15,0.11544155297886326,0.03294997933335009,1.0
MAR,57,selection_misspecified,M1_class2,0.8,0.8738633784437305,0.036659399145673954,0.0
MAR,57,selection_misspecified,M2_class1,0.25,0.31593264669664234,0.059157182940095164,1.0
MAR,57,selection_misspecified,M2_class2,0.75,0.8238603447758037,0.04162200188813524,1.0
MAR,57,selection_misspecified,M3_class1,0.2,0.2208105182979918,0.043776555373503154,1.0
MAR,57,selection_misspecified,M3_class2,0.85,0.8479940326256129,0.03861636742285628,1.0
MAR,57,selection_misspecified,p_class2,0.45,0.42793915202353267,0.03445436490648815,1.0
MAR,57,selection_misspecified,mean_Y1,0.44250000000000006,0.43999994584443824,0.022199099037416656,1.0
MAR,57,selection_misspecified,mean_Y2,0.47500000000000003,0.5332947951019036,0.04259674554226845,1.0
MAR,57,selection_misspecified,mean_Y3,0.49250000000000005,0.48920689958249314,0.03243005555588319,1.0
MAR,57,selection_misspecified,P000,0.28387500000000004,0.27116372461041666,0.02857795761739769,1.0
MAR,57,selection_misspecified,P001,0.08925,0.08449670323146329,0.016823850268706798,1.0
MAR,57,selection_misspecified,P010,0.10362500000000001,0.13132781456699663,0.02561048053300072,1.0
MAR,57,selection_misspecified,P011,0.08074999999999999,0.07301181174668514,0.012902421371435097,1.0
MAR,57,selection_misspecified,P100,0.063,0.04521281603888661,0.01066488714805589,1.0
MAR,57,selection_misspecified,P101,0.08887500000000001,0.06583196101732984,0.013865696592960382,1.0
MAR,57,selection_misspecified,P110,0.057000000000000016,0.06308874520120693,0.012637643663329635,1.0
MAR,57,selection_misspecified,P111,0.233625,0.2658664235870149,0.02204619311782081,1.0
MAR,57,candidate_saturated,M1_class1,0.15,0.13932655081407508,0.04845359579099431,1.0
MAR,57,candidate_saturated,M1_class2,0.8,0.8649604946099351,0.046413013651839474,1.0
MAR,57,candidate_saturated,M2_class1,0.25,0.2408776109776654,0.06949551251072557,1.0
MAR,57,candidate_saturated,M2_class2,0.75,0.7651757766447037,0.0989242582853823,1.0
MAR,57,candidate_saturated,M3_class1,0.2,0.22880080497962818,0.13116622519071536,1.0
MAR,57,candidate_saturated,M3_class2,0.85,0.8233865894696015,0.08445340233304215,1.0
MAR,57,candidate_saturated,p_class2,0.45,0.41435970334545524,0.03921130623677817,1.0
MAR,57,candidate_saturated,mean_Y1,0.44250000000000006,0.44000001650272036,0.022199099058832498,1.0
MAR,57,candidate_saturated,mean_Y2,0.47500000000000003,0.45812564336802575,0.06266334904936098,1.0
MAR,57,candidate_saturated,mean_Y3,0.49250000000000005,0.4751731942543183,0.0711346433692728,1.0
MAR,57,candidate_saturated,P000,0.28387500000000004,0.2974060269713088,0.06406147109055488,1.0
MAR,57,candidate_saturated,P001,0.08925,0.09836543151265496,0.04758279215025868,1.0
MAR,57,candidate_saturated,P010,0.10362500000000001,0.10119550392379204,0.029887277710880518,1.0
MAR,57,candidate_saturated,P011,0.08074999999999999,0.0630330210895238,0.025399017581420526,1.0
MAR,57,candidate_saturated,P100,0.063,0.06263283569783375,0.01671265930703695,1.0
MAR,57,candidate_saturated,P101,0.08887500000000001,0.08347006245017671,0.029562949814935038,1.0
MAR,57,candidate_saturated,P110,0.057000000000000016,0.06359243915274708,0.026380777081315327,1.0
MAR,57,candidate_saturated,P111,0.233625,0.23030467920196285,0.03427780137648825,1.0
MAR,58,oracle,M1_class1,0.15,0.1733220199176614,0.0355910018017999,1.0
MAR,58,oracle,M1_class2,0.8,0.769336811025466,0.036638000546533656,1.0
MAR,58,oracle,M2_class1,0.25,0.2502814979812118,0.03184035057090175,1.0
MAR,58,oracle,M2_class2,0.75,0.7253440651523795,0.03785852292323762,1.0
MAR,58,oracle,M3_class1,0.2,0.15718689704553843,0.0334154063400989,1.0
MAR,58,oracle,M3_class2,0.85,0.8214401652131544,0.039068587166834964,1.0
MAR,58,oracle,p_class2,0.45,0.47092449127331876,0.037236152194018254,1.0
MAR,58,oracle,mean_Y1,0.44250000000000006,0.45399998221147764,0.022265848363930408,1.0
MAR,58,oracle,mean_Y2,0.47500000000000003,0.4740000957492908,0.022330427694573097,1.0
MAR,58,oracle,mean_Y3,0.49250000000000005,0.47000002943401237,0.022320394296064156,1.0
MAR,58,oracle,P000,0.28387500000000004,0.28169255527413756,0.01986767202210057,1.0
MAR,58,oracle,P001,0.08925,0.07605011497040898,0.0102434836572152,1.0
MAR,58,oracle,P010,0.10362500000000001,0.10632893926155969,0.012355375329262031,1.0
MAR,58,oracle,P011,0.08074999999999999,0.08192840828241613,0.010793099857970096,1.0
MAR,58,oracle,P100,0.063,0.07571107287238359,0.010839786468376966,1.0
MAR,58,oracle,P101,0.08887500000000001,0.09254616113377913,0.011885247923298052,1.0
MAR,58,oracle,P110,0.057000000000000016,0.06626740315790677,0.00960460461513986,1.0
MAR,58,oracle,P111,0.233625,0.21947534504740818,0.017867064086861235,1.0
MAR,58,MAR_ignorability,M1_class1,0.15,0.1430681097860855,0.038732564033886765,1.0
MAR,58,MAR_ignorability,M1_class2,0.8,0.7946794335787671,0.042685918264852164,1.0
MAR,58,MAR_ignorability,M2_class1,0.25,0.25268630363484373,0.03938327893833027,1.0
MAR,58,MAR_ignorability,M2_class2,0.75,0.720379326964026,0.04459710496658942,1.0
MAR,58,MAR_ignorability,M3_class1,0.2,0.14973095444801082,0.03922972057589204,1.0
MAR,58,MAR_ignorability,M3_class2,0.85,0.8268110291958769,0.05023339642139063,1.0
MAR,58,MAR_ignorability,p_class2,0.45,0.4771738871699746,0.04231210565634242,1.0
MAR,58,MAR_ignorability,mean_Y1,0.44250000000000006,0.45400001808421236,0.02226584836312741,1.0
MAR,58,MAR_ignorability,mean_Y2,0.47500000000000003,0.4758572015791072,0.02633945509673087,1.0
MAR,58,MAR_ignorability,mean_Y3,0.49250000000000005,0.472815885640787,0.02572968889726465,1.0
MAR,58,MAR_ignorability,P000,0.28387500000000004,0.2894284758665685,0.022120902253067006,1.0
MAR,58,MAR_ignorability,P001,0.08925,0.07278321365957587,0.012027514219450516,1.0
MAR,58,MAR_ignorability,P010,0.10362500000000001,0.1084824265537057,0.015568773681823819,1.0
MAR,58,MAR_ignorability,P011,0.08074999999999999,0.07530586583593751,0.011808440908038533,1.0
MAR,58,MAR_ignorability,P100,0.063,0.06589269517180717,0.011519173172169732,1.0
MAR,58,MAR_ignorability,P101,0.08887500000000001,0.0960384137229412,0.01452876217691993,1.0
MAR,58,MAR_ignorability,P110,0.057000000000000016,0.06338051676713152,0.01246932703765869,1.0
MAR,58,MAR_ignorability,P111,0.233625,0.2286883924223325,0.021514079997554433,1.0
MAR,58,selection_misspecified,M1_class1,0.15,0.12780851212567776,0.03933742128907207,1.0
MAR,58,selection_misspecified,M1_class2,0.8,0.7832089796314158,0.04255676792625014,1.0
MAR,58,selection_misspecified,M2_class1,0.25,0.27697462484877106,0.057899706361388956,1.0
MAR,58,selection_misspecified,M2_class2,0.75,0.7468533538393834,0.04963033752263736,1.0
MAR,58,selection_misspecified,M3_class1,0.2,0.1992194968150321,0.054975278815908545,1.0
MAR,58,selection_misspecified,M3_class2,0.85,0.8678876773172823,0.043081509461124275,1.0
MAR,58,selection_misspecified,p_class2,0.45,0.4976979811077064,0.042071356766138775,1.0
MAR,58,selection_misspecified,mean_Y1,0.44250000000000006,0.4540000016203305,0.02226584821509541,1.0
MAR,58,selection_misspecified,mean_Y2,0.47500000000000003,0.5108323196328539,0.04682206694607589,1.0
MAR,58,selection_misspecified,mean_Y3,0.49250000000000005,0.5320143002819655,0.033825874966183125,1.0
MAR,58,selection_misspecified,P000,0.28387500000000004,0.25726368275621964,0.028478804696510044,1.0
MAR,58,selection_misspecified,P001,0.08925,0.08680992263152505,0.01807052934954454,1.0
MAR,58,selection_misspecified,P010,0.10362500000000001,0.10781554566828486,0.02228457815646167,1.0
MAR,58,selection_misspecified,P011,0.08074999999999999,0.09411084732363997,0.015187422286531154,1.0
MAR,58,selection_misspecified,P100,0.063,0.05020637011267143,0.012419158337871534,1.0
MAR,58,selection_misspecified,P101,0.08887500000000001,0.09488770486672994,0.017877599345257105,1.0
MAR,58,selection_misspecified,P110,0.057000000000000016,0.052700101180858654,0.012574923230702343,1.0
MAR,58,selection_misspecified,P111,0.233625,0.2562058254600705,0.024760777307275494,1.0
MAR,58,candidate_saturated,M1_class1,0.15,0.12155229757398085,0.099240735070478,1.0
