mechanism,rep,method,success,gradient_max,boundary,hessian_min,valid_se,nll,start_nll_range,item_rate,complete_rate,stationary,boundary_parameters
MCAR,24,oracle,True,9.933041432230727e-09,False,0.007896134560274886,True,1.8009417532997039,6.616929226765933e-14,0.8006666666666667,0.492,True,
MCAR,24,MAR_ignorability,True,2.0227419131790823e-08,False,0.004990944771347782,True,1.4533668426987927,8.837375276016246e-14,0.8006666666666667,0.492,True,
MCAR,24,selection_misspecified,True,2.7532303117604184e-08,False,0.004959527980091459,True,2.6732195943462664,9.663381206337363e-13,0.8006666666666667,0.492,True,
MCAR,24,candidate_saturated,True,9.249153762493912e-08,False,0.002507922522671913,True,2.6727743648141304,4.978684131629052e-12,0.8006666666666667,0.492,True,
MCAR,25,oracle,True,1.887516865644763e-08,False,0.0073569925081905345,True,1.8062961184590782,2.5934809855243657e-13,0.8041333333333333,0.497,True,
MCAR,25,MAR_ignorability,True,1.2255268079307499e-08,False,0.004999010588047158,True,1.4629734272798371,1.9406698470447736e-13,0.8041333333333333,0.497,True,
MCAR,25,selection_misspecified,True,8.338611823270892e-08,False,0.005020027030036586,True,2.6737725874520404,1.1180389947185176e-11,0.8041333333333333,0.497,True,
MCAR,25,candidate_saturated,True,3.582448114620718e-08,False,0.001593620829536799,True,2.67328618855274,2.495781359357352e-12,0.8041333333333333,0.497,True,
MCAR,26,oracle,True,3.1661313344422126e-09,False,0.0072238645004435035,True,1.7990836675833848,2.220446049250313e-13,0.7991333333333334,0.4852,True,
MCAR,26,MAR_ignorability,True,3.2706363347978494e-08,False,0.004189861790704559,True,1.4496043340417528,4.858335955759685e-13,0.7991333333333334,0.4852,True,
MCAR,26,selection_misspecified,True,9.627405845957782e-08,False,0.004153932260191334,True,2.6728276561561666,7.402523038990694e-12,0.7991333333333334,0.4852,True,
MCAR,26,candidate_saturated,True,7.364748845333224e-08,False,0.002148165309237196,True,2.6722568398309394,3.929745417963204e-12,0.7991333333333334,0.4852,True,
MCAR,27,oracle,True,1.1201963032420568e-08,False,0.006423613617981253,True,1.8063243738748156,2.071676163950542e-13,0.8055333333333333,0.5066,True,
MCAR,27,MAR_ignorability,True,2.6543537891771107e-08,False,0.004798536088395563,True,1.4602648332126598,4.1300296516055823e-13,0.8055333333333333,0.5066,True,
MCAR,27,selection_misspecified,True,2.3014366284190196e-08,False,0.004773718104835393,True,2.666956600814909,1.2363443602225743e-12,0.8055333333333333,0.5066,True,
MCAR,27,candidate_saturated,True,7.955613692729458e-08,False,0.0019088963830697387,True,2.666682292047922,3.233413536918306e-12,0.8055333333333333,0.5066,True,
