mechanism,method,parameter,bias,RMSE,SD,estimated_SE,coverage_valid,valid_CI,SD_valid,CI_failure_rate,covered_and_available,bias_MCSE,replications
MAR,oracle,P100,-0.0004567686921232412,0.0030620651353894346,0.003043058876944222,0.0030127064808391727,0.95,100,0.003043058876944222,0.0,0.95,0.0003043058876944222,100
MAR,oracle,P101,0.000143334707627705,0.0038173660507449412,0.0038338917547105686,0.0037282510237346684,0.95,100,0.0038338917547105686,0.0,0.95,0.0003833891754710569,100
MAR,oracle,P110,-0.00032019498789119505,0.0027757361617341664,0.002771096564719111,0.0028604253410979196,0.93,100,0.002771096564719111,0.0,0.93,0.0002771096564719111,100
MAR,oracle,P111,-0.00010436653962703629,0.005937528267283777,0.005966518497415404,0.005868245311126379,0.95,100,0.005966518497415404,0.0,0.95,0.0005966518497415404,100
MAR,oracle,mean_Y1,-0.0007379955120138094,0.007451681171137026,0.007452402154964448,0.007022144960973587,0.92,100,0.007452402154964448,0.0,0.92,0.0007452402154964448,100
MAR,oracle,mean_Y2,-0.001291999085090157,0.007584299436955474,0.007511091886456808,0.007060491586089228,0.92,100,0.007511091886456808,0.0,0.92,0.0007511091886456808,100
MAR,oracle,mean_Y3,-7.799675023066054e-05,0.007549809335930049,0.007587438949605452,0.007069449283917937,0.93,100,0.007587438949605452,0.0,0.93,0.0007587438949605452,100
MAR,oracle,p_class2,0.0007287134164131753,0.010198477568151428,0.010223656537402604,0.011373872139916186,0.95,100,0.010223656537402604,0.0,0.95,0.0010223656537402604,100
MAR,selection_misspecified,M1_class1,-0.02020852181869722,0.023082921052101774,0.011211325902214166,0.011357434510582213,0.55,100,0.011211325902214166,0.0,0.55,0.0011211325902214166,100
MAR,selection_misspecified,M1_class2,-0.002271498298358634,0.01326927350253281,0.013139266263571323,0.013781288605073563,0.96,100,0.013139266263571323,0.0,0.96,0.0013139266263571324,100
MAR,selection_misspecified,M2_class1,0.060245982331706645,0.06276718633113278,0.017699548953187944,0.019317046187766074,0.06,100,0.017699548953187944,0.0,0.06,0.0017699548953187944,100
MAR,selection_misspecified,M2_class2,0.04969613445176769,0.051460932876213436,0.013428517560802527,0.013998208660789569,0.06,100,0.013428517560802527,0.0,0.06,0.0013428517560802526,100
MAR,selection_misspecified,M3_class1,0.047295463949584976,0.04985457453749282,0.015847049628470496,0.017456009743939103,0.22,100,0.015847049628470496,0.0,0.22,0.0015847049628470496,100
MAR,selection_misspecified,M3_class2,0.026285452883853592,0.028727605018374437,0.011649348912419024,0.012386418784536102,0.47,100,0.011649348912419024,0.0,0.47,0.0011649348912419024,100
MAR,selection_misspecified,P000,-0.04084134190610202,0.04161240417081936,0.008013686032203057,0.00909189521503865,0.0,100,0.008013686032203057,0.0,0.0,0.0008013686032203057,100
MAR,selection_misspecified,P001,0.006491822560770732,0.008723876549095002,0.005857073931038809,0.005865621028623765,0.79,100,0.005857073931038809,0.0,0.79,0.0005857073931038809,100
MAR,selection_misspecified,P010,0.014029261250679487,0.0156937917431697,0.007069276821997058,0.007204701525625103,0.56,100,0.007069276821997058,0.0,0.56,0.0007069276821997058,100
MAR,selection_misspecified,P011,0.021058267383903675,0.02160593893257218,0.004858188125701215,0.004843385272241747,0.0,100,0.004858188125701215,0.0,0.0,0.00048581881257012154,100
MAR,selection_misspecified,P100,-0.01782069181289248,0.018145315881566662,0.0034341469691613856,0.0034670815999504495,0.0,100,0.0034341469691613856,0.0,0.0,0.00034341469691613857,100
MAR,selection_misspecified,P101,-0.011651503042335167,0.012578273473335155,0.004762589952432522,0.00481466868737451,0.36,100,0.004762589952432522,0.0,0.36,0.0004762589952432522,100
MAR,selection_misspecified,P110,-0.003975602085292934,0.005381253150763883,0.003644904223710261,0.003725824743705396,0.82,100,0.003644904223710261,0.0,0.82,0.0003644904223710261,100
MAR,selection_misspecified,P111,0.032709787651268654,0.0334491280842389,0.007029085418670168,0.0073370290166984735,0.0,100,0.007029085418670168,0.0,0.0,0.0007029085418670168,100
MAR,selection_misspecified,mean_Y1,-0.0007380092892519585,0.007451682664763399,0.0074524022854076145,0.0070221449449396536,0.92,100,0.0074524022854076145,0.0,0.92,0.0007452402285407615,100
MAR,selection_misspecified,mean_Y2,0.06382171420055886,0.06507191931678165,0.012758181374782376,0.013474997291047872,0.0,100,0.012758181374782376,0.0,0.0,0.0012758181374782375,100
