mechanism,rep,method,parameter,truth,estimate,se,covered
MCAR,50,selection_misspecified,P110,0.057000000000000016,0.06064788282552695,0.009471716389270338,1.0
MCAR,50,selection_misspecified,P111,0.233625,0.21358073196141433,0.01649943401500224,1.0
MCAR,50,candidate_saturated,M1_class1,0.15,0.17758864810555552,0.027724920398224898,1.0
MCAR,50,candidate_saturated,M1_class2,0.8,0.8401770795039709,0.04734639267049791,1.0
MCAR,50,candidate_saturated,M2_class1,0.25,0.31413373752008944,0.07238433152495405,1.0
MCAR,50,candidate_saturated,M2_class2,0.75,0.7639469823544311,0.05421164131406776,1.0
MCAR,50,candidate_saturated,M3_class1,0.2,0.18341345010084995,0.0479124039797648,1.0
MCAR,50,candidate_saturated,M3_class2,0.85,0.8832916762770243,0.04231269164872938,1.0
MCAR,50,candidate_saturated,p_class2,0.45,0.38094729031713476,0.03154547999478232,0.0
MCAR,50,candidate_saturated,mean_Y1,0.44250000000000006,0.4299999156422626,0.01565567007609012,1.0
MCAR,50,candidate_saturated,mean_Y2,0.47500000000000003,0.48548887428848986,0.054437866171445755,1.0
MCAR,50,candidate_saturated,mean_Y3,0.49250000000000005,0.45003016391462636,0.041167170379920896,1.0
MCAR,50,candidate_saturated,P000,0.28387500000000004,0.2868174772115491,0.04340216255812953,1.0
MCAR,50,candidate_saturated,P001,0.08925,0.07673987185980377,0.017470260576073822,1.0
MCAR,50,candidate_saturated,P010,0.10362500000000001,0.1360254632615885,0.028773464987021564,1.0
MCAR,50,candidate_saturated,P011,0.08074999999999999,0.07041727202479608,0.020601548823870653,1.0
MCAR,50,candidate_saturated,P100,0.063,0.07038970796745396,0.012365157563755018,1.0
MCAR,50,candidate_saturated,P101,0.08887500000000001,0.08056406867270337,0.016458123876800793,1.0
MCAR,50,candidate_saturated,P110,0.057000000000000016,0.05673718764478214,0.011085150014521067,1.0
MCAR,50,candidate_saturated,P111,0.233625,0.2223089513573231,0.02189033221074872,1.0
MCAR,51,oracle,M1_class1,0.15,0.13539365361574543,0.020404149970434708,1.0
MCAR,51,oracle,M1_class2,0.8,0.7241955010062354,0.02588549230847558,0.0
MCAR,51,oracle,M2_class1,0.25,0.23137240826657685,0.021981490978503923,1.0
MCAR,51,oracle,M2_class2,0.75,0.7195526630966363,0.024803454869768815,1.0
MCAR,51,oracle,M3_class1,0.2,0.14328973314296786,0.023100514594464498,0.0
MCAR,51,oracle,M3_class2,0.85,0.845296620005963,0.02422884998421572,1.0
MCAR,51,oracle,p_class2,0.45,0.48676197400284427,0.023967027484118875,1.0
MCAR,51,oracle,mean_Y1,0.44250000000000006,0.4220000031480618,0.015617810327271048,1.0
MCAR,51,oracle,mean_Y2,0.47500000000000003,0.46899999277686816,0.015780969547685167,1.0
MCAR,51,oracle,mean_Y3,0.49250000000000005,0.48499999115599074,0.015804271571843893,1.0
MCAR,51,oracle,P000,0.28387500000000004,0.2980293334821154,0.014014674126124789,1.0
MCAR,51,oracle,P001,0.08925,0.08069865522715666,0.007462061597245972,1.0
MCAR,51,oracle,P010,0.10362500000000001,0.1029039715519605,0.00886993679481287,1.0
MCAR,51,oracle,P011,0.08074999999999999,0.09636803659070561,0.00824732776922039,1.0
MCAR,51,oracle,P100,0.063,0.061052092554786316,0.006675980110570026,1.0
MCAR,51,oracle,P101,0.08887500000000001,0.09121992595907343,0.008173118564290056,1.0
MCAR,51,oracle,P110,0.057000000000000016,0.05301461125514704,0.005935148477515139,1.0
MCAR,51,oracle,P111,0.233625,0.21671337337905497,0.012475543804810748,1.0
